Day,Mbera sim,Mbera data,Mbera error,Mentao sim,Mentao data,Mentao error,Bobo-Dioulasso sim,Bobo-Dioulasso data,Bobo-Dioulasso error,Abala sim,Abala data,Abala error,Mangaize sim,Mangaize data,Mangaize error,Niamey sim,Niamey data,Niamey error,Tabareybarey sim,Tabareybarey data,Tabareybarey error,Total error,refugees in camps (UNHCR),total refugees (simulation),raw UNHCR refugee count,retrofitted time,refugees in camps (simulation),refugee_debt,Total error (retrofitted)
77,21371,33641,0.36473350970541896,6911,5024,0.3755971337579618,1931,1097,0.7602552415679125,2522,4216,0.4018026565464896,1913,1558,0.22785622593068044,133,1803,0.9262340543538546,6420,891,6.205387205387205,0.5025710138917686,48230,48230,48230,0,41201,0,0.8216269351340235
78,21460,33716,0.36350694032506825,6904,5093,0.3555860985666601,1931,1100,0.7554545454545454,2584,4259,0.39328480864052595,1948,1567,0.24313975749840466,136,1842,0.9261672095548317,6416,910,6.05054945054945,0.49840163342751664,48487,48487,48487,0,41379,0,0.8209430792070854
79,21548,33790,0.36229653743711154,6901,5163,0.336625992639938,1929,1103,0.7488667271078875,2635,4303,0.38763653265163844,1971,1577,0.2498414711477488,137,1881,0.9271664008506114,6413,930,5.895698924731183,0.4942868279073584,48747,48747,48747,0,41534,0,0.8197441295159488
80,21668,33865,0.3601653624686254,6900,5173,0.33384883046588043,1924,1105,0.7411764705882353,2687,4346,0.3817303267372296,2008,1586,0.26607818411097095,146,1920,0.9239583333333333,6400,949,5.743940990516333,0.4913574697613599,48944,48944,48944,0,41733,0,0.8205105238949402
81,21771,33939,0.35852559002916995,6903,5183,0.33185413852980905,1928,1108,0.7400722021660651,2740,4390,0.3758542141230068,2047,1596,0.28258145363408516,148,1959,0.9244512506380806,6395,968,5.606404958677686,0.4893270659096921,49143,49143,49143,0,41932,0,0.8212373498059531
82,21871,34014,0.35700005879931795,6909,5194,0.33018867924528306,1930,1111,0.7371737173717372,2791,4434,0.3705457825890843,2077,1606,0.29327521793275224,151,1999,0.9244622311155578,6391,988,5.468623481781377,0.48721274267417825,49346,49346,49346,0,42120,0,0.8216687691305061
83,21962,34088,0.35572635531565355,6900,5204,0.325903151421983,1926,1114,0.7289048473967683,2839,4477,0.36587000223363864,2105,1615,0.3034055727554179,153,2038,0.9249263984298332,6385,1007,5.340615690168819,0.4849322810487859,49543,49543,49543,0,42270,0,0.821429204559957
84,22058,34163,0.35433070866141736,6902,5214,0.32374376678174155,1924,1116,0.7240143369175627,2888,4521,0.36120327361203275,2131,1625,0.31138461538461537,159,2077,0.9234472797303803,6383,1026,5.221247563352827,0.4827912026054441,49742,49742,49742,0,42445,0,0.8216611129732209
85,22151,34237,0.35300990156847856,6901,5225,0.32076555023923436,1927,1119,0.7220732797140303,2930,4564,0.35801928133216476,2159,1634,0.32129742962056307,165,2116,0.9220226843100189,6375,1046,5.094646271510516,0.4807472817925152,49941,49941,49941,0,42608,0,0.8216508896801016
86,22252,34312,0.35148053159244574,6909,5235,0.31977077363896855,1936,1122,0.7254901960784315,2972,4608,0.3550347222222222,2187,1644,0.3302919708029197,170,2155,0.9211136890951276,6367,1065,4.978403755868545,0.478929419038312,50141,50141,50141,0,42793,0,0.822063123621666
87,22353,34386,0.3499389286337463,6907,5245,0.31687321258341283,1932,1124,0.7188612099644127,3001,4651,0.35476241668458397,2226,1654,0.3458282950423217,173,2195,0.9211845102505695,6356,1085,4.858064516129033,0.47711561382598333,50340,50340,50340,0,42948,0,0.8218924728151361
88,22447,34460,0.3486070806732443,6900,5256,0.31278538812785395,1930,1127,0.712511091393079,3058,4695,0.34866879659211925,2253,1663,0.354780517137703,177,2234,0.9207699194270367,6351,1104,4.752717391304348,0.4747027048418053,50539,50539,50539,0,43116,0,0.8219803929938059
89,22536,34535,0.3474446213985811,6899,5266,0.31010254462590203,1929,1130,0.7070796460176991,3102,4739,0.34543152563832036,2287,1673,0.36700537955768087,187,2273,0.9177298724153101,6338,1123,4.6438112199465715,0.47267388005281935,50739,50739,50739,0,43278,0,0.821933169386743
90,22635,34609,0.34597936952815744,6912,5276,0.3100833965125094,1927,1133,0.7007943512797881,3158,4782,0.3396068590547888,2310,1682,0.3733650416171226,193,2312,0.9165224913494809,6333,1143,4.540682414698162,0.4704831458468304,50937,50937,50937,0,43468,0,0.8224682859515471
91,22721,34684,0.344914081420828,6913,5287,0.3075468129373935,1925,1135,0.696035242290749,3218,4826,0.3331951927061749,2338,1692,0.38179669030732866,196,2351,0.9166312207571247,6329,1162,4.446643717728055,0.4684475037643976,51137,51137,51137,0,43640,0,0.822615074828675
92,22814,34758,0.3436331204327061,6902,5297,0.303001699074948,1930,1138,0.6959578207381372,3257,4869,0.33107414253440126,2357,1702,0.3848413631022327,198,2391,0.917189460476788,6324,1181,4.354784081287045,0.46641732896992366,51336,51336,51336,0,43782,0,0.8221923617249874
93,22907,34833,0.34237648207159876,6902,5307,0.3005464480874316,1933,1141,0.6941279579316388,3299,4913,0.3285161815591289,2386,1711,0.3945061367621274,206,2430,0.9152263374485596,6318,1201,4.260616153205662,0.46458786091276,51536,51536,51536,0,43951,0,0.8222808732054089
94,23009,34907,0.3408485404073681,6901,5318,0.2976682963520121,1933,1143,0.6911636045494314,3341,4957,0.3260036312285657,2406,1721,0.39802440441603726,208,2469,0.91575536654516,6312,1220,4.173770491803278,0.46245288489417224,51735,51735,51735,0,44110,0,0.8221913034022219
